RunNumber,BackBiasVoltage,VCASN,ITHR,,Threshold [DAC]
1,0,47,40,,
2,0,47,50,,
3,0,47,60,,
4,0,47,70,,
5,0,47,80,,
6,0,47,90,,
7,0,47,100,,
8,0,50,40,,
9,0,50,50,,
10,0,50,60,,
11,0,50,70,,
12,0,50,80,,
13,0,50,90,,
14,0,50,100,,
15,0,53,40,,
16,0,53,50,,
17,0,53,60,,
18,0,53,70,,
19,0,53,80,,
20,0,53,90,,
21,0,53,100,,
22,0,56,40,,
23,0,56,50,,
24,0,56,60,,
25,0,56,70,,
26,0,56,80,,
27,0,56,90,,
28,0,56,100,,
29,0,59,40,,
30,0,59,50,,
31,0,59,60,,
32,0,59,70,,
33,0,59,80,,
34,0,59,90,,
35,0,59,100,,
36,0,62,40,,
37,0,62,50,,
38,0,62,60,,
39,0,62,70,,
40,0,62,80,,
41,0,62,90,,
42,0,62,100,,
43,0,65,40,,
44,0,65,50,,
45,0,65,60,,
46,0,65,70,,
47,0,65,80,,
48,0,65,90,,
49,0,65,100,,
50,0,67,40,,
51,0,67,50,,
52,0,67,60,,
53,0,67,70,,
54,0,67,80,,
55,0,67,90,,
56,0,67,100,,
57,1,47,40,,
58,1,47,50,,
59,1,47,60,,
60,1,47,70,,
61,1,47,80,,
62,1,47,90,,
63,1,47,100,,
64,1,50,40,,
65,1,50,50,,
66,1,50,60,,
67,1,50,70,,
68,1,50,80,,
69,1,50,90,,
70,1,50,100,,
71,1,53,40,,
72,1,53,50,,
73,1,53,60,,
74,1,53,70,,
75,1,53,80,,
76,1,53,90,,
77,1,53,100,,
78,1,56,40,,
79,1,56,50,,
80,1,56,60,,
81,1,56,70,,
82,1,56,80,,
83,1,56,90,,
84,1,56,100,,
85,1,59,40,,
86,1,59,50,,
87,1,59,60,,
88,1,59,70,,
89,1,59,80,,
90,1,59,90,,
91,1,59,100,,
92,1,62,40,,
93,1,62,50,,
94,1,62,60,,
95,1,62,70,,
96,1,62,80,,
97,1,62,90,,
98,1,62,100,,
99,1,65,40,,
100,1,65,50,,
101,1,65,60,,
102,1,65,70,,
103,1,65,80,,
104,1,65,90,,
105,1,65,100,,
106,1,67,40,,
107,1,67,50,,
108,1,67,60,,
109,1,67,70,,
110,1,67,80,,
111,1,67,90,,
112,1,67,100,,
113,2,47,40,,
114,2,47,50,,
115,2,47,60,,
116,2,47,70,,
117,2,47,80,,
118,2,47,90,,
119,2,47,100,,
120,2,50,40,,
121,2,50,50,,
122,2,50,60,,
123,2,50,70,,
124,2,50,80,,
125,2,50,90,,
126,2,50,100,,
127,2,53,40,,
128,2,53,50,,
129,2,53,60,,
130,2,53,70,,
131,2,53,80,,
132,2,53,90,,
133,2,53,100,,
134,2,56,40,,
135,2,56,50,,
136,2,56,60,,
137,2,56,70,,
138,2,56,80,,
139,2,56,90,,
140,2,56,100,,
141,2,59,40,,
142,2,59,50,,
143,2,59,60,,
144,2,59,70,,
145,2,59,80,,
146,2,59,90,,
147,2,59,100,,
148,2,62,40,,
149,2,62,50,,
150,2,62,60,,
151,2,62,70,,
152,2,62,80,,
153,2,62,90,,
154,2,62,100,,
155,2,65,40,,
156,2,65,50,,
157,2,65,60,,
158,2,65,70,,
159,2,65,80,,
160,2,65,90,,
161,2,65,100,,
162,2,67,40,,
163,2,67,50,,
164,2,67,60,,
165,2,67,70,,
166,2,67,80,,
167,2,67,90,,
168,2,67,100,,
169,3,47,40,,
170,3,47,50,,
171,3,47,60,,
172,3,47,70,,
173,3,47,80,,
174,3,47,90,,
175,3,47,100,,
176,3,50,40,,
177,3,50,50,,
178,3,50,60,,
179,3,50,70,,
180,3,50,80,,
181,3,50,90,,
182,3,50,100,,
183,3,53,40,,
184,3,53,50,,
185,3,53,60,,
186,3,53,70,,
187,3,53,80,,
188,3,53,90,,
189,3,53,100,,
190,3,56,40,,
191,3,56,50,,
192,3,56,60,,
193,3,56,70,,
194,3,56,80,,
195,3,56,90,,
196,3,56,100,,
197,3,59,40,,
198,3,59,50,,
199,3,59,60,,
200,3,59,70,,
201,3,59,80,,
202,3,59,90,,
203,3,59,100,,
204,3,62,40,,
205,3,62,50,,
206,3,62,60,,
207,3,62,70,,
208,3,62,80,,
209,3,62,90,,
210,3,62,100,,
211,3,65,40,,
212,3,65,50,,
213,3,65,60,,
214,3,65,70,,
215,3,65,80,,
216,3,65,90,,
217,3,65,100,,
218,3,67,40,,
219,3,67,50,,
220,3,67,60,,
221,3,67,70,,
222,3,67,80,,
223,3,67,90,,
224,3,67,100,,
