RunNumber ChipNumber BackBiasVoltage VCASN ITHR ThresScanDataFile MeanThreshold 
746 8 3 118 100 ThresholdScan_200121_193551.dat 13.91 
747 8 3 118 90 ThresholdScan_200121_193951.dat 12.78 
748 8 3 118 80 ThresholdScan_200121_194352.dat 11.57 
749 8 3 118 70 ThresholdScan_200121_194751.dat 10.31 
750 8 3 118 60 ThresholdScan_200121_195150.dat 8.98 
751 8 3 118 51 ThresholdScan_200121_195551.dat 7.75 
752 8 3 115 100 ThresholdScan_200121_195951.dat 14.88 
753 8 3 115 90 ThresholdScan_200121_200350.dat 13.64 
754 8 3 115 80 ThresholdScan_200121_200750.dat 12.37 
755 8 3 115 70 ThresholdScan_200121_201152.dat 11.04 
756 8 3 115 60 ThresholdScan_200121_201553.dat 9.67 
757 8 3 115 51 ThresholdScan_200121_201952.dat 8.38 
758 8 3 112 100 ThresholdScan_200121_202349.dat 16.0 
759 8 3 112 90 ThresholdScan_200121_202749.dat 14.68 
760 8 3 112 80 ThresholdScan_200121_203148.dat 13.32 
761 8 3 112 70 ThresholdScan_200121_203546.dat 11.92 
762 8 3 112 60 ThresholdScan_200121_203946.dat 10.46 
763 8 3 112 51 ThresholdScan_200121_204345.dat 9.11 
764 8 3 121 100 ThresholdScan_200121_204746.dat 13.42 
765 8 3 121 90 ThresholdScan_200121_205146.dat 12.24 
766 8 3 121 80 ThresholdScan_200121_205546.dat 11.03 
767 8 3 121 70 ThresholdScan_200121_205946.dat 9.78 
768 8 3 121 60 ThresholdScan_200121_210345.dat 8.46 
769 8 3 121 51 ThresholdScan_200121_210743.dat 7.22 
770 8 3 124 100 ThresholdScan_200121_211143.dat 12.79 
771 8 3 124 90 ThresholdScan_200121_211540.dat 11.64 
772 8 3 124 80 ThresholdScan_200121_211942.dat 10.46 
773 8 3 124 70 ThresholdScan_200121_212340.dat 9.21 
774 8 3 124 60 ThresholdScan_200121_212740.dat 7.92 
775 8 3 124 51 ThresholdScan_200121_213142.dat 6.72 
