 VCASN, VCASN2, ITHR, NTRIGGERS, FHR, Error_FHR
118,130,100,100000,0.50003,0.001581186263537601
118,130,90,100000,0.33427,0.001055572514483649
118,130,80,100000,0.25772,0.0008026830009412185
118,130,70,100000,0.2646725,0.0008134379201881358
118,130,60,100000,0.0889925,0.00027232410225073116
118,130,51,100000,0.06388235294117647,0.00019385008297981271
115,127,100,100000,0.500005,0.001581146735758576
115,127,90,100000,0.500055,0.0015812257903285033
115,127,80,100000,0.25238,0.0007943236116344522
115,127,70,100000,0.209808,0.0006477777396607574
115,127,60,100000,0.213028,0.0006527296530723881
115,127,51,100000,0.06338,0.00019308638724979156
112,124,100,100000,1.0,0.00316227766016838
112,124,90,100000,1.0,0.00316227766016838
112,124,80,100000,0.33347666666666664,0.001054319158930961
112,124,70,100000,0.34124666666666664,0.001066531241403124
112,124,60,100000,0.211814,0.000650867113933405
112,124,51,100000,0.11901111111111111,0.00036364071265637264
121,133,100,100000,0.50009,0.0015812811261758611
121,133,90,100000,0.33648,0.0010590561835898981
121,133,80,100000,0.34841666666666665,0.0010776775440218141
121,133,70,100000,0.17713666666666666,0.000543348670540177
121,133,60,100000,0.07666928571428572,0.0002340166137482638
121,133,51,100000,0.04983772727272727,0.00015051083813697345
124,136,100,100000,0.200318,0.0006329581344765229
124,136,90,100000,0.204568,0.0006396373972806781
124,136,80,100000,0.210914,0.0006494828712137064
124,136,70,100000,0.15219714285714286,0.0004662879901905242
124,136,60,100000,0.06341882352941176,0.00019314551589777766
124,136,51,100000,0.04090407407407407,0.00012308394316267203
