BB, VCASN, VCASN2, ITHR, NTRIGGERS, FHR, Error_FHR
0,47,59,51,100000,5.461692810058594e-07,3.2275923401363935e-09
0,47,59,60,100000,2.3250579833984374e-07,2.105871830345997e-09
0,47,59,70,100000,1.3185501098632812e-07,1.5858545801373155e-09
0,47,59,80,100000,7.28607177734375e-09,3.727878625048078e-10
0,47,59,90,100000,1.52587890625e-10,5.394796609394436e-11
0,47,59,100,100000,5.7220458984375e-11,3.303624739778285e-11
0,50,62,51,100000,2.730255126953125e-06,7.216334515266987e-09
0,50,62,60,100000,1.4243507385253907e-06,5.212229305941824e-09
0,50,62,70,100000,6.259536743164063e-07,3.4553030039511125e-09
0,50,62,80,100000,2.990150451660156e-07,2.388149780871727e-09
0,50,62,90,100000,1.6109466552734374e-07,1.7528938645764212e-09
0,50,62,100,100000,9.281158447265625e-08,1.3305038472439032e-09
0,53,65,51,100000,6.034679412841797e-06,1.0728577504751291e-08
0,53,65,60,100000,4.130706787109375e-06,8.876202984915554e-09
0,53,65,70,100000,2.594470977783203e-06,7.034600679744731e-09
0,53,65,80,100000,1.4381027221679687e-06,5.237330675994222e-09
0,53,65,90,100000,6.929969787597656e-07,3.635638650884645e-09
0,53,65,100,100000,4.086112976074219e-07,2.7917095118282947e-09
0,56,68,51,100000,1.3267135620117187e-05,1.5907562033941135e-08
0,56,68,60,100000,7.4908447265625e-06,1.1953096857224787e-08
0,56,68,70,100000,5.08331298828125e-06,9.846649216030937e-09
0,56,68,80,100000,3.5218238830566405e-06,8.195941659354643e-09
0,56,68,90,100000,2.3779869079589844e-06,6.73472351157907e-09
0,56,68,100,100000,1.3465118408203126e-06,5.0678077298319695e-09
0,59,71,51,100000,2.4088363647460936e-05,2.143476322931395e-08
0,59,71,60,100000,1.4524173736572265e-05,1.6644116954402335e-08
0,59,71,70,100000,8.325958251953125e-06,1.2601787606810687e-08
0,59,71,80,100000,5.740337371826172e-06,1.0463663143486199e-08
0,59,71,90,100000,4.153842926025391e-06,8.901026135155657e-09
0,59,71,100,100000,2.9900169372558595e-06,7.551824095780557e-09
3,101,113,51,100000,3.971099853515625e-08,8.703029286613337e-10
3,101,113,60,100000,1.125335693359375e-08,4.632933731647918e-10
3,101,113,70,100000,4.520416259765625e-09,2.9363258969003015e-10
3,101,113,80,100000,3.0517578125e-10,7.62939453125e-11
3,101,113,90,100000,3.814697265625e-11,2.697398304697218e-11
3,101,113,100,100000,3.814697265625e-11,2.697398304697218e-11
3,103,115,51,100000,1.557159423828125e-07,1.723382110302203e-09
3,103,115,60,100000,5.340576171875e-08,1.0092740291841852e-09
3,103,115,70,100000,1.102447509765625e-08,4.58557711798527e-10
3,103,115,80,100000,9.46044921875e-09,4.2478670981064007e-10
3,103,115,90,100000,3.681182861328125e-09,2.6497734049701317e-10
3,103,115,100,100000,3.814697265625e-11,2.697398304697218e-11
3,105,117,51,100000,2.6258468627929685e-07,2.237946698141661e-09
3,105,117,60,100000,1.7261505126953124e-07,1.8144891348305175e-09
3,105,117,70,100000,6.017684936523438e-08,1.0713460288988966e-09
3,105,117,80,100000,1.3675689697265625e-08,5.107279906843523e-10
3,105,117,90,100000,9.72747802734375e-09,4.3073996698899135e-10
3,105,117,100,100000,6.866455078125e-09,3.618939583017402e-10
3,107,119,51,100000,3.540229797363281e-07,2.5985481453771313e-09
3,107,119,60,100000,2.720451354980469e-07,2.2779045573849026e-09
3,107,119,70,100000,1.7147064208984374e-07,1.808464251119012e-09
3,107,119,80,100000,5.59234619140625e-08,1.0327900978607851e-09
3,107,119,90,100000,1.399993896484375e-08,5.167471765191676e-10
3,107,119,100,100000,1.0089874267578126e-08,4.38690185546875e-10
3,109,121,51,100000,4.519844055175781e-07,2.9361400476076123e-09
3,109,121,60,100000,3.676414489746094e-07,2.648056674368824e-09
3,109,121,70,100000,2.550506591796875e-07,2.205607685161402e-09
3,109,121,80,100000,1.4883041381835938e-07,1.6848486172869252e-09
3,109,121,90,100000,4.1351318359375e-08,8.880956059892895e-10
3,109,121,100,100000,1.1806488037109375e-08,4.745428201532261e-10
3,112,124,51,100000,6.233978271484375e-07,3.4482415711632726e-09
3,112,124,60,100000,4.189300537109375e-07,2.8267395797802523e-09
3,112,124,70,100000,3.287696838378906e-07,2.504153363870509e-09
3,112,124,80,100000,2.531623840332031e-07,2.19742787609806e-09
3,112,124,90,100000,1.4295578002929688e-07,1.65126167396789e-09
3,112,124,100,100000,3.27301025390625e-08,7.901121207125847e-10
3,115,127,51,100000,7.38372802734375e-07,3.752778112014277e-09
3,115,127,60,100000,5.090522766113282e-07,3.115991276985074e-09
3,115,127,70,100000,3.8156509399414064e-07,2.6977354584145147e-09
3,115,127,80,100000,3.137016296386719e-07,2.446095612199928e-09
3,115,127,90,100000,2.2996902465820312e-07,2.0943521785293127e-09
3,115,127,100,100000,1.0379791259765626e-07,1.4070494187551872e-09
3,118,130,51,100000,9.627532958984375e-07,4.285214326807486e-09
3,118,130,60,100000,6.533432006835938e-07,3.5300896030854445e-09
3,118,130,70,100000,4.1391372680664064e-07,2.80976472489597e-09
3,118,130,80,100000,3.3779144287109376e-07,2.5382790365441353e-09
3,118,130,90,100000,2.7902603149414063e-07,2.306945859116435e-09
3,118,130,100,100000,1.7564773559570313e-07,1.8303591678822924e-09
3,121,133,51,100000,1.2087631225585937e-06,4.801596285826518e-09
3,121,133,60,100000,6.908226013183594e-07,3.629930500905696e-09
3,121,133,70,100000,4.6785354614257814e-07,2.9872392297764273e-09
3,121,133,80,100000,3.77044677734375e-07,2.6817077592196545e-09
3,121,133,90,100000,3.110504150390625e-07,2.435737226920253e-09
3,121,133,100,100000,2.257537841796875e-07,2.0750690870604166e-09
3,124,136,51,100000,1.6809844970703125e-06,5.662352410673561e-09
3,124,136,60,100000,8.108329772949219e-07,3.932608766051816e-09
3,124,136,70,100000,5.434989929199218e-07,3.2196926267592433e-09
3,124,136,80,100000,3.878593444824219e-07,2.719895200962897e-09
3,124,136,90,100000,3.29132080078125e-07,2.5055331228138773e-09
3,124,136,100,100000,2.7158737182617185e-07,2.2759872634568696e-09
