RunNumber, pE_1, pE_2, pE_3, pE_4, pE_5, pE_6, pE_7
Run_000380,57,6,4,2,0,0,1
Run_000381,52,14,5,3,0,0,2
Run_000382,35,11,4,2,1,0,0
Run_000383,48,17,3,3,2,0,0
Run_000384,40,16,9,2,0,0,0
Run_000386,43,18,3,4,2,0,0
Run_000387,55,15,7,4,2,1,0
Run_000388,42,20,7,0,2,0,0
Run_000389,59,11,6,0,1,1,0
Run_000390,55,13,4,3,1,0,1
Run_000391,36,13,6,3,0,1,2
Run_000394,51,13,4,4,3,0,0
Run_000395,41,13,5,2,2,0,0
Run_000396,50,20,7,1,2,1,0
Run_000397,50,12,3,1,2,1,1
Run_000398,51,12,3,5,0,0,1
Run_000399,77,15,1,1,0,0,0
Run_000401,49,14,2,4,1,0,1
Run_000402,44,19,3,3,0,2,0
Run_000403,53,22,1,0,1,0,0
Run_000404,50,11,6,2,2,1,1
Run_000405,57,12,6,1,1,5,1
Run_000406,59,20,3,3,2,0,1
Run_000407,51,12,6,4,0,0,1
Run_000408,52,9,2,3,1,0,0
Run_000409,47,11,7,5,3,1,0
Run_000410,50,14,2,2,0,0,0
Run_000411,53,10,3,2,0,1,0
Run_000412,56,19,5,0,2,0,0
Run_000413,51,17,3,5,2,1,0
Run_000414,42,15,6,2,0,0,0
Run_000416,87,29,8,10,1,1,0
Run_000417,88,16,8,6,1,1,1
Run_000418,98,27,9,10,1,0,0
Run_000419,91,23,8,4,0,1,0
Run_000420,84,21,8,6,1,1,1
Run_000421,107,26,13,8,1,1,1
Run_000422,88,34,10,5,1,0,0
Run_000423,71,20,12,6,4,2,0
Run_000424,89,25,8,9,1,2,1
Run_000425,76,22,10,6,3,0,1
Run_000426,95,29,17,3,3,1,1
Run_000427,67,37,6,3,3,0,0
Run_000428,81,36,6,6,3,3,2
Run_000429,81,21,5,5,0,0,0
Run_000430,90,22,8,5,2,2,3
Run_000431,85,27,13,3,3,0,2
Run_000432,89,31,12,7,2,1,1
Run_000433,89,31,13,7,2,2,1
Run_000434,83,22,8,5,5,1,0
Run_000436,93,29,18,4,3,1,0
Run_000437,95,34,4,3,2,1,1
Run_000438,76,18,6,3,3,2,0
Run_000439,96,19,5,5,3,1,0
Run_000440,88,28,10,3,1,1,0
Run_000441,97,32,14,3,1,0,0
Run_000442,88,21,7,5,2,0,0
Run_000443,69,27,8,7,1,3,0
Run_000445,80,27,9,7,1,0,4
Run_000446,82,40,6,8,3,2,2
Run_000447,83,28,7,2,1,0,1
Run_000448,90,29,13,8,5,0,2
Run_000449,83,24,9,4,2,0,1
Run_000450,96,28,11,5,2,1,0
Run_000451,92,23,6,7,1,3,1
Run_000452,81,30,8,5,5,2,0
Run_000453,87,26,12,11,1,0,0
Run_000454,92,24,9,2,3,1,1
Run_000455,91,24,9,7,2,1,4
Run_000456,81,27,10,9,1,2,2
Run_000457,78,20,10,6,0,0,1
Run_000458,79,13,9,4,1,2,2
Run_000459,98,21,12,3,3,1,3
Run_000460,80,22,5,4,0,1,0
Run_000461,94,26,9,3,2,0,0
Run_000462,100,26,5,3,3,1,1
Run_000463,90,27,20,3,0,0,1
Run_000464,101,23,12,5,3,0,1
Run_000465,80,30,10,6,5,0,1
Run_000466,80,29,8,6,0,0,2
Run_000467,105,27,8,2,2,2,0
Run_000468,103,33,12,6,2,0,1
Run_000469,92,30,13,5,2,3,0
Run_000470,105,24,14,5,4,3,1
Run_000472,98,24,5,7,4,0,2
Run_000473,106,19,14,3,3,1,1
Run_000474,83,26,6,5,1,0,0
Run_000475,110,18,8,3,1,1,1
Run_000476,94,36,7,3,1,2,0
Run_000477,92,27,9,4,4,0,0
Run_000478,83,16,8,2,2,2,1
Run_000479,84,39,9,8,2,1,2
Run_000480,76,23,5,5,0,1,0
Run_000481,103,23,7,6,1,1,2
Run_000482,82,19,4,4,2,0,1
Run_000483,91,30,13,4,1,1,2
Run_000484,89,27,11,10,1,3,1
Run_000485,96,22,8,3,4,0,1
Run_000486,80,21,10,3,3,2,1
Run_000487,93,25,4,5,2,1,1
Run_000488,101,23,6,6,1,1,0
Run_000489,95,29,4,10,0,0,1
Run_000492,83,23,9,6,2,1,2
Run_000493,85,22,17,4,4,1,1
Run_000494,90,26,9,4,1,1,1
Run_000495,78,26,17,2,2,0,2
Run_000496,97,24,13,10,3,1,0
Run_000497,105,22,9,4,2,0,1
Run_000498,85,23,9,9,1,0,1
Run_000499,85,18,17,4,4,0,0
Run_000500,93,27,6,5,5,1,0
Run_000501,82,29,7,6,2,0,0
Run_000503,88,22,10,6,0,0,1
Run_000504,103,27,12,4,3,3,0
Run_000505,90,30,7,9,5,2,1
Run_000506,86,29,10,4,4,1,0
Run_000507,99,27,15,8,5,0,0
Run_000508,82,27,11,7,2,2,1
Run_000509,102,24,11,4,3,0,0
Run_000510,54,24,6,8,2,0,2
Run_000511,86,31,11,4,3,0,0
Run_000512,102,25,12,6,3,0,1
Run_000513,85,36,7,2,2,0,1
Run_000514,90,20,10,8,0,1,1
Run_000515,68,27,14,8,2,0,2
Run_000516,85,24,17,4,3,1,1
Run_000517,104,25,6,7,1,1,1
Run_000518,104,19,8,2,5,1,0
Run_000519,104,26,9,4,1,2,1
Run_000520,91,18,8,10,0,1,0
Run_000522,83,26,10,2,4,1,2
Run_000523,85,28,11,4,3,2,2
Run_000524,75,22,10,4,2,1,1
Run_000525,83,30,11,4,2,1,0
Run_000526,80,22,9,6,2,0,2
Run_000527,102,27,7,4,1,1,0
Run_000528,96,31,5,10,2,1,1
Run_000529,86,20,8,3,1,1,1
Run_000530,89,18,8,2,2,2,1
Run_000531,81,30,14,1,3,1,1
Run_000532,86,35,9,3,3,0,1
Run_000533,87,23,10,5,4,1,2
Run_000534,90,21,7,2,3,0,2
Run_000535,95,42,8,6,3,1,0
Run_000536,85,30,8,3,2,2,0
Run_000537,87,29,14,11,1,0,1
Run_000538,86,18,7,2,1,1,0
Run_000539,94,29,9,3,3,1,1
Run_000540,94,29,11,2,2,0,0
Run_000541,88,28,14,1,3,1,0
Run_000542,93,33,13,2,0,1,0
Run_000543,76,22,6,6,2,0,1
Run_000544,81,19,7,3,1,2,3
Run_000546,86,23,6,5,1,0,0
Run_000547,83,25,7,4,0,1,0
Run_000548,85,26,9,3,2,2,1
Run_000549,91,25,10,7,4,1,0
Run_000550,107,28,6,4,0,2,0
Run_000552,78,24,11,4,3,0,1
Run_000553,79,26,11,2,1,0,1
Run_000554,105,25,11,2,2,1,1
Run_000555,90,34,9,2,2,0,2
Run_000556,86,28,11,1,2,0,0
Run_000557,75,29,13,5,1,2,2
Run_000558,100,26,7,2,2,1,0
Run_000559,93,24,12,1,1,1,0
Run_000560,70,21,6,3,0,2,1
Run_000561,88,34,12,7,3,1,0
Run_000562,89,23,10,4,3,1,1
Run_000563,74,22,12,3,1,0,0
Run_000565,79,35,9,11,0,1,1
Run_000566,72,21,9,6,4,1,2
Run_000567,99,20,12,2,1,1,3
Run_000568,79,23,13,2,1,1,0
Run_000569,77,27,10,5,4,2,1
Run_000570,85,24,16,7,4,1,0
Run_000571,94,17,11,3,3,0,0
Run_000572,95,20,10,2,2,2,1
Run_000573,117,29,9,2,2,0,0
Run_000574,94,16,12,1,3,3,0
Run_000575,88,30,7,5,2,0,0
Run_000576,90,26,11,3,2,2,2
Run_000577,85,18,2,4,3,1,2
Run_000578,98,24,7,7,3,1,0
Run_000579,61,24,11,4,1,2,1
Run_000580,112,31,13,4,2,0,1
Run_000581,101,16,7,5,4,0,1
Run_000582,95,38,10,2,0,3,0
Run_000583,95,20,6,6,2,0,4
Run_000584,98,27,6,4,2,2,0
Run_000585,99,28,10,4,3,2,1
Run_000587,84,26,14,1,5,2,1
Run_000589,94,31,8,4,1,0,1
Run_000590,73,22,16,3,0,1,3
Run_000591,96,30,11,4,2,1,0
Run_000592,79,21,10,6,2,1,2
Run_000593,75,35,8,9,1,0,1
Run_000594,92,28,5,5,3,3,1
Run_000595,79,30,8,9,2,1,2
Run_000596,91,26,6,4,3,0,0
Run_000597,86,32,11,6,0,2,0
Run_000599,83,16,10,6,3,0,0
Run_000600,111,30,9,4,2,1,1
Run_000601,95,33,5,1,1,0,1
Run_000602,95,23,9,4,3,0,0
Run_000603,82,24,11,6,1,1,2
Run_000604,93,23,8,5,2,3,1
Run_000606,103,23,12,6,4,0,0
Run_000607,109,28,9,6,1,0,3
Run_000608,105,24,12,6,0,2,3
Run_000609,102,21,6,8,3,1,0
Run_000610,94,34,9,5,2,2,1
Run_000611,109,29,8,4,4,0,0
Run_000612,109,32,10,7,2,1,1
Run_000613,114,33,19,4,6,0,4
Run_000614,115,38,16,4,1,0,1
Run_000615,108,40,8,6,4,4,0
Run_000616,100,29,9,2,1,1,0
Run_000617,113,37,10,5,2,0,0
Run_000618,127,43,9,2,2,0,0
Run_000619,88,33,14,0,6,3,1
Run_000620,132,38,8,6,2,1,3
Run_000621,118,32,10,2,0,2,1
Run_000623,93,29,7,9,2,0,1
Run_000624,97,26,8,10,4,1,1
Run_000625,106,32,8,6,5,1,3
Run_000626,96,37,5,3,0,1,2
Run_000627,117,34,11,7,2,0,2
Run_000629,81,30,10,6,1,3,1
Run_000630,107,30,7,4,2,2,0
Run_000631,97,27,15,6,6,1,1
Run_000632,87,38,8,5,2,2,0
Run_000633,101,29,12,10,2,0,0
Run_000634,118,21,20,3,4,1,1
Run_000635,114,28,12,6,4,0,1
Run_000636,103,24,11,7,6,2,0
Run_000637,89,36,13,3,2,4,0
Run_000638,109,25,8,12,7,0,0
Run_000639,108,28,10,4,3,2,5
Run_000640,101,44,19,1,1,3,1
Run_000641,114,33,15,6,4,3,0
Run_000642,101,33,16,6,3,1,2
Run_000643,86,39,11,8,1,0,3
Run_000644,92,32,9,11,5,0,1
Run_000645,103,27,11,8,1,1,2
Run_000646,115,37,12,6,3,1,0
Run_000647,98,39,13,5,1,1,0
Run_000648,99,24,11,6,2,3,1
Run_000649,98,26,10,3,3,1,1
Run_000650,86,25,10,5,6,1,1
Run_000651,109,32,8,6,2,0,0
Run_000652,103,26,12,2,4,1,0
Run_000653,117,30,16,8,3,4,1
Run_000654,113,28,14,5,2,1,0
Run_000655,97,21,10,5,3,1,2
Run_000656,103,34,11,4,2,2,3
