RunNumber, s2_h1, s3_h1, s3_h2, s4_h1, s4_h2, s4_h3, s5_h1, s5_h2, s6_h1
Run_000380,0,1,0,0,0,0,0,0,0
Run_000381,0,2,0,0,0,0,0,0,0
Run_000382,1,1,0,0,0,0,0,0,0
Run_000383,1,1,0,0,0,0,0,0,0
Run_000384,1,1,0,0,0,0,0,0,0
Run_000386,2,0,0,0,0,0,0,0,0
Run_000387,2,0,0,1,0,0,0,0,0
Run_000388,1,0,0,0,0,0,0,0,0
Run_000389,1,2,0,0,0,0,0,0,0
Run_000390,0,1,0,0,0,0,0,0,0
Run_000391,5,1,0,0,0,0,0,0,0
Run_000394,4,1,0,1,0,0,0,0,0
Run_000395,4,1,0,0,0,0,0,0,0
Run_000396,4,0,0,0,0,0,0,0,1
Run_000397,2,0,0,0,0,0,0,0,0
Run_000398,1,0,0,0,0,0,1,0,0
Run_000399,2,1,0,0,0,0,0,0,0
Run_000401,1,1,0,0,0,0,0,0,0
Run_000402,1,0,0,1,0,0,0,0,0
Run_000403,4,0,0,0,0,0,0,0,0
Run_000404,0,1,0,0,0,0,0,0,0
Run_000405,1,0,0,0,0,0,0,0,1
Run_000406,3,0,0,0,0,0,0,0,0
Run_000407,2,0,0,1,0,0,0,0,0
Run_000408,0,1,0,0,0,0,1,0,0
Run_000409,0,0,1,1,0,0,0,0,0
Run_000410,1,0,0,0,0,0,0,0,0
Run_000411,2,0,0,0,0,0,0,0,0
Run_000412,2,1,0,0,0,0,0,0,0
Run_000413,2,0,0,1,0,0,0,0,1
Run_000414,8,0,0,1,0,0,0,0,0
Run_000416,3,0,0,1,0,0,0,0,0
Run_000417,5,0,0,1,0,0,0,0,0
Run_000418,4,1,0,1,0,0,0,0,0
Run_000419,4,1,0,0,0,0,1,0,0
Run_000420,3,0,0,0,0,0,0,0,0
Run_000421,1,1,0,1,0,0,0,0,0
Run_000422,1,0,0,2,0,0,0,0,0
Run_000423,1,1,0,0,0,0,1,0,0
Run_000424,3,0,0,0,0,0,0,0,0
Run_000425,3,1,0,0,0,0,0,0,0
Run_000426,2,1,0,0,0,0,0,0,1
Run_000427,5,3,0,0,0,0,0,0,0
Run_000428,2,2,0,0,0,0,0,0,0
Run_000429,2,0,0,1,0,0,0,0,0
Run_000430,4,1,0,1,0,0,0,0,0
Run_000431,2,1,0,0,0,0,0,0,1
Run_000432,4,0,0,0,0,0,0,0,0
Run_000433,2,2,0,3,0,0,0,0,0
Run_000434,0,0,0,1,0,0,0,0,0
Run_000436,4,2,0,0,0,0,0,0,0
Run_000437,7,2,0,0,0,0,2,0,0
Run_000438,2,0,0,1,0,0,0,0,0
Run_000439,6,1,0,0,0,0,1,0,0
Run_000440,2,1,0,0,0,0,0,0,0
Run_000441,5,0,0,0,0,0,0,0,0
Run_000442,4,0,0,0,0,0,1,0,0
Run_000443,5,0,0,1,0,0,0,0,0
Run_000445,1,0,0,0,0,0,0,0,0
Run_000446,4,1,0,0,0,0,0,0,0
Run_000447,3,1,0,0,0,0,0,0,0
Run_000448,2,1,2,0,0,0,0,0,0
Run_000449,4,0,0,0,0,0,0,0,0
Run_000450,6,0,0,1,0,0,0,0,1
Run_000451,3,0,0,1,0,0,0,0,0
Run_000452,4,0,0,0,0,0,0,0,1
Run_000453,5,1,0,0,0,0,0,0,0
Run_000454,4,0,0,0,0,0,0,0,0
Run_000455,6,0,0,1,0,0,0,0,0
Run_000456,2,2,0,1,0,0,0,0,0
Run_000457,3,1,0,1,0,0,0,0,0
Run_000458,3,1,0,0,0,0,0,0,0
Run_000459,4,2,0,2,0,0,0,0,0
Run_000460,4,2,0,2,0,0,0,0,0
Run_000461,4,0,0,0,0,0,0,0,0
Run_000462,4,0,0,0,0,0,0,0,0
Run_000463,3,1,0,0,0,0,0,0,0
Run_000464,2,1,1,0,0,0,0,0,0
Run_000465,2,2,0,1,0,0,0,0,0
Run_000466,3,2,0,1,0,0,0,0,0
Run_000467,6,0,0,1,0,0,0,0,1
Run_000468,2,3,0,1,0,0,0,0,0
Run_000469,2,2,0,0,0,0,0,0,0
Run_000470,2,0,0,3,0,0,0,0,0
Run_000472,3,0,0,2,0,0,0,0,0
Run_000473,1,0,0,0,0,0,0,0,1
Run_000474,4,2,0,0,0,0,0,0,0
Run_000475,4,0,0,0,0,0,0,0,0
Run_000476,5,3,0,0,0,0,1,0,0
Run_000477,2,2,0,0,0,0,0,0,0
Run_000478,1,0,0,0,0,0,0,0,0
Run_000479,3,0,0,1,0,0,0,0,0
Run_000480,2,2,0,1,0,0,0,0,0
Run_000481,2,2,0,1,0,0,0,0,0
Run_000482,5,1,0,0,0,0,0,0,0
Run_000483,3,0,0,0,0,0,0,0,0
Run_000484,5,2,0,1,0,0,0,1,0
Run_000485,4,0,0,0,0,0,1,0,0
Run_000486,9,0,0,0,0,0,0,0,0
Run_000487,3,0,0,3,0,0,0,0,0
Run_000488,2,3,0,0,0,0,1,0,0
Run_000489,2,1,0,0,0,0,0,0,0
Run_000492,6,1,0,1,0,0,0,0,1
