RunNumber, s2_h1, s3_h1, s3_h2, s4_h1, s4_h2, s4_h3, s5_h1, s5_h2, s6_h1
Run_000380,0,0,0,0,0,0,0,0,0
Run_000381,0,2,0,0,0,0,0,0,0
Run_000382,0,1,0,0,0,0,0,0,0
Run_000383,1,0,0,0,0,0,0,0,0
Run_000384,0,1,0,0,0,0,0,0,0
Run_000386,1,0,0,0,0,0,0,0,0
Run_000387,1,0,0,0,0,0,0,0,0
Run_000388,1,0,0,0,0,0,0,0,0
Run_000389,0,1,0,0,0,0,0,0,0
Run_000390,0,1,0,0,0,0,0,0,0
Run_000391,1,0,0,0,0,0,0,0,0
Run_000394,2,1,0,1,0,0,0,0,0
Run_000395,2,0,0,0,0,0,0,0,0
Run_000396,0,0,0,0,0,0,0,0,1
Run_000397,1,0,0,0,0,0,0,0,0
Run_000398,1,0,0,0,0,0,1,0,0
Run_000399,0,1,0,0,0,0,0,0,0
Run_000401,1,0,0,0,0,0,0,0,0
Run_000402,1,0,0,0,0,0,0,0,0
Run_000403,2,0,0,0,0,0,0,0,0
Run_000404,0,0,0,0,0,0,0,0,0
Run_000405,1,0,0,0,0,0,0,0,1
Run_000406,2,0,0,0,0,0,0,0,0
Run_000407,0,0,0,1,0,0,0,0,0
Run_000408,0,1,0,0,0,0,1,0,0
Run_000409,0,0,1,1,0,0,0,0,0
Run_000410,0,0,0,0,0,0,0,0,0
Run_000411,0,0,0,0,0,0,0,0,0
Run_000412,0,0,0,0,0,0,0,0,0
Run_000413,0,0,0,1,0,0,0,0,1
Run_000414,1,0,0,1,0,0,0,0,0
Run_000416,2,0,0,1,0,0,0,0,0
Run_000417,3,0,0,1,0,0,0,0,0
Run_000418,1,0,0,1,0,0,0,0,0
Run_000419,2,1,0,0,0,0,1,0,0
Run_000420,1,0,0,0,0,0,0,0,0
Run_000421,0,1,0,0,0,0,0,0,0
Run_000422,0,0,0,1,0,0,0,0,0
Run_000423,1,1,0,0,0,0,1,0,0
Run_000424,1,0,0,0,0,0,0,0,0
Run_000425,0,1,0,0,0,0,0,0,0
Run_000426,1,1,0,0,0,0,0,0,1
Run_000427,1,2,0,0,0,0,0,0,0
Run_000428,1,2,0,0,0,0,0,0,0
Run_000429,1,0,0,1,0,0,0,0,0
Run_000430,3,0,0,0,0,0,0,0,0
Run_000431,0,1,0,0,0,0,0,0,1
Run_000432,2,0,0,0,0,0,0,0,0
Run_000433,2,2,0,3,0,0,0,0,0
