RunNumber, hpP_1, hpP_2, hpP_3, hpP_4, hpP_5, hpP_6, hpP_7, total_N
Run_000380,69,77,80,115,71,81,58,551
Run_000381,94,74,85,111,78,64,67,573
Run_000382,85,81,74,104,53,70,66,533
Run_000383,69,79,76,109,90,90,76,589
Run_000384,71,67,71,86,80,66,80,521
Run_000386,75,101,78,151,75,63,60,603
Run_000387,86,85,77,122,88,82,78,618
Run_000388,94,88,93,107,87,73,80,622
Run_000389,93,82,81,76,79,65,68,544
Run_000390,81,80,60,95,80,88,80,564
Run_000391,86,84,90,104,62,93,81,600
Run_000394,55,67,70,95,77,60,70,494
Run_000395,69,77,86,101,70,89,77,569
Run_000396,91,79,68,90,82,78,73,561
Run_000397,76,91,70,82,72,69,67,527
Run_000398,73,66,78,87,73,72,57,506
Run_000399,66,79,69,83,95,60,64,516
Run_000401,71,73,84,197,72,87,81,665
Run_000402,82,70,82,128,77,73,56,568
Run_000403,80,73,88,103,80,78,74,576
Run_000404,66,85,97,123,74,81,69,595
Run_000405,81,85,99,99,83,88,63,598
Run_000406,75,65,81,102,92,75,64,554
Run_000407,67,77,71,98,75,93,66,547
Run_000408,83,81,68,77,69,81,68,527
Run_000409,75,70,84,103,78,86,84,580
Run_000410,58,63,84,79,68,67,73,492
Run_000411,87,77,71,83,74,68,80,540
Run_000412,83,76,86,95,86,64,60,550
Run_000413,76,74,80,105,83,67,61,546
Run_000414,79,61,71,83,68,77,70,509
Run_000416,126,133,152,227,143,159,152,1092
Run_000417,123,125,142,180,129,132,148,979
Run_000418,147,151,127,175,150,146,134,1030
Run_000419,145,140,162,153,130,133,119,982
Run_000420,121,147,145,159,124,119,108,923
Run_000421,130,140,142,149,163,151,122,997
Run_000422,118,131,110,147,143,133,121,903
Run_000423,143,130,133,151,120,136,122,935
Run_000424,140,153,153,138,137,141,119,981
Run_000425,138,150,176,165,123,155,128,1035
Run_000426,135,131,144,162,156,141,150,1019
Run_000427,140,151,128,160,118,137,118,952
Run_000428,134,141,170,165,139,140,123,1012
Run_000429,127,139,136,133,129,131,127,922
Run_000430,138,153,152,160,138,136,100,977
Run_000431,122,143,137,164,140,142,120,968
Run_000432,146,143,157,158,148,144,129,1025
Run_000433,137,146,146,149,151,131,123,983
Run_000434,143,154,126,151,130,137,123,964
Run_000436,124,134,147,340,152,140,133,1170
Run_000437,141,143,147,200,143,144,136,1054
Run_000438,146,135,131,172,112,113,127,936
Run_000439,121,129,126,160,132,126,118,912
Run_000440,140,121,139,144,135,121,117,917
Run_000441,150,152,146,146,153,127,137,1011
Run_000442,152,131,142,146,131,156,133,991
Run_000443,117,118,148,162,138,141,129,953
Run_000445,131,140,140,166,134,122,128,961
Run_000446,162,158,143,166,151,146,121,1047
Run_000447,111,109,130,129,122,123,109,833
Run_000448,165,137,146,184,151,142,131,1056
Run_000449,150,130,147,167,151,139,109,993
Run_000450,150,139,134,170,149,144,128,1014
Run_000451,128,133,147,138,138,128,137,949
Run_000452,135,118,134,170,139,151,137,984
Run_000453,134,142,133,162,141,140,141,993
Run_000454,137,145,146,168,136,143,122,997
Run_000455,166,147,159,143,142,159,138,1054
Run_000456,141,147,149,167,137,144,122,1007
Run_000457,139,139,139,132,118,147,123,937
Run_000458,105,115,142,146,116,140,139,903
Run_000459,138,148,142,143,142,134,137,984
Run_000460,150,127,164,146,126,127,131,971
Run_000461,133,137,145,144,138,123,122,942
Run_000462,148,134,147,150,143,152,147,1021
Run_000463,159,132,142,151,147,127,134,992
Run_000464,120,126,137,159,160,135,145,982
Run_000465,140,127,128,145,138,121,122,921
Run_000466,114,112,144,161,148,149,128,956
Run_000467,138,142,140,159,149,150,129,1007
Run_000468,114,129,116,157,160,140,119,935
Run_000469,128,153,159,182,148,138,139,1047
Run_000470,140,145,154,161,161,152,132,1045
Run_000472,121,134,134,281,141,160,139,1110
Run_000473,151,154,147,219,153,141,122,1087
Run_000474,136,136,148,184,123,120,135,982
Run_000475,127,135,146,175,145,136,124,988
Run_000476,134,129,115,155,148,148,125,954
Run_000477,120,140,143,164,140,140,128,975
Run_000478,137,134,140,151,118,118,126,924
Run_000479,132,157,161,154,152,173,134,1063
Run_000480,134,141,154,156,121,139,129,974
Run_000481,136,147,148,151,147,127,132,988
Run_000482,139,129,129,161,130,133,126,947
Run_000483,138,145,144,161,147,145,118,998
Run_000484,130,142,145,168,144,136,142,1007
Run_000485,128,137,116,138,153,140,122,934
Run_000486,118,130,123,151,122,135,119,898
Run_000487,156,148,151,160,134,134,115,998
Run_000488,137,146,163,176,141,151,107,1021
Run_000489,147,131,132,176,143,128,102,959
Run_000492,160,123,139,201,131,132,138,1024
