RunNumber, pE_1, pE_2, pE_3, pE_4, pE_5, pE_6, pE_7
Run_000380,416,42,11,2,0,0,1
Run_000381,419,46,11,3,0,0,2
Run_000382,367,49,16,3,1,0,0
Run_000383,333,53,9,4,2,0,0
Run_000384,286,46,14,2,0,0,0
Run_000386,428,59,8,5,2,0,0
Run_000387,424,59,11,6,2,1,0
Run_000388,345,61,13,1,2,0,0
Run_000389,364,52,14,5,1,1,0
Run_000390,378,57,15,3,1,0,1
Run_000391,388,57,21,3,0,1,2
Run_000394,345,44,5,7,3,0,0
Run_000395,305,57,9,3,2,0,0
Run_000396,398,51,10,3,2,1,0
Run_000397,364,45,13,2,2,1,1
Run_000398,355,41,10,6,1,0,1
Run_000399,368,56,7,3,0,0,0
Run_000401,474,55,15,5,1,0,1
Run_000402,410,49,11,3,0,2,0
Run_000403,388,79,6,1,1,0,0
Run_000404,407,57,12,3,2,1,1
Run_000405,397,55,14,1,1,5,1
Run_000406,374,60,9,3,2,0,1
Run_000407,381,48,14,4,0,0,1
Run_000408,367,58,5,4,2,0,0
Run_000409,388,39,18,9,3,1,0
Run_000410,344,52,11,2,0,0,0
Run_000411,388,49,11,3,0,1,0
Run_000412,390,54,13,0,2,0,0
Run_000413,369,52,10,6,2,1,0
Run_000414,350,49,14,4,0,0,0
Run_000416,781,101,17,11,1,1,0
Run_000417,739,74,13,8,1,1,1
Run_000418,695,107,23,11,1,0,0
Run_000419,679,99,18,9,1,1,0
Run_000420,634,81,26,7,1,1,1
Run_000421,675,97,25,8,1,1,1
Run_000422,645,87,16,7,1,0,0
Run_000423,640,91,18,6,4,2,0
Run_000424,681,78,19,15,1,2,1
Run_000425,692,116,18,8,3,0,1
Run_000426,668,102,30,5,3,2,1
Run_000427,633,110,19,6,3,0,0
Run_000428,667,101,21,7,3,3,2
Run_000429,596,83,14,7,0,0,0
Run_000430,655,93,18,9,2,2,3
Run_000431,660,96,18,6,3,1,2
Run_000432,675,103,30,7,2,1,1
Run_000433,655,90,28,8,2,2,1
Run_000434,651,95,19,8,5,1,0
Run_000436,843,94,29,7,3,1,0
Run_000437,717,115,19,6,2,1,1
Run_000438,653,88,19,5,3,2,0
Run_000439,644,80,16,9,3,1,0
Run_000440,643,89,22,4,1,1,0
Run_000441,700,109,24,3,1,0,0
Run_000442,698,95,19,7,2,0,0
Run_000443,540,95,21,10,1,3,0
Run_000445,660,92,16,8,1,0,4
Run_000446,686,117,15,9,3,2,2
Run_000447,581,90,15,3,1,0,1
Run_000448,696,105,24,9,5,0,2
Run_000449,579,103,21,6,2,0,1
Run_000450,691,103,26,5,2,1,0
Run_000451,680,76,16,9,1,3,1
Run_000452,663,97,21,6,5,2,0
Run_000453,672,94,23,14,1,0,0
Run_000454,696,96,18,6,3,1,1
Run_000455,671,116,20,11,2,1,4
