DAQ,chipID,VCASN,ITHR,Threshold,Threshold Uncertainty
DAQ-000904250114121B,L0_BOTTOM,45,40,17.88,0.93
DAQ-000904250114121B,L0_BOTTOM,45,40,17.88,0.93
DAQ-000904250114121B,L0_BOTTOM,45,40,17.88,0.93
DAQ-000904250114121B,L0_BOTTOM,45,50,18.47,0.59
DAQ-000904250114121B,L0_BOTTOM,45,50,18.47,0.59
DAQ-000904250114121B,L0_BOTTOM,45,50,18.47,0.59
DAQ-000904250114121B,L0_BOTTOM,50,40,11.46,2.15
DAQ-000904250114121B,L0_BOTTOM,50,40,11.46,2.15
DAQ-000904250114121B,L0_BOTTOM,50,40,11.46,2.15
DAQ-000904250114121B,L0_BOTTOM,50,50,13.77,2.02
DAQ-000904250114121B,L0_BOTTOM,50,50,13.77,2.02
DAQ-000904250114121B,L0_BOTTOM,50,50,13.77,2.02
DAQ-000904250114121B,L0_BOTTOM,50,60,15.67,1.69
DAQ-000904250114121B,L0_BOTTOM,50,60,15.67,1.69
DAQ-000904250114121B,L0_BOTTOM,50,60,15.67,1.69
DAQ-000904250114121B,L0_BOTTOM,55,40,7.24,1.88
DAQ-000904250114121B,L0_BOTTOM,55,40,7.24,1.88
DAQ-000904250114121B,L0_BOTTOM,55,40,7.24,1.88
DAQ-000904250114121B,L0_BOTTOM,55,50,9.02,1.95
DAQ-000904250114121B,L0_BOTTOM,55,50,9.02,1.95
DAQ-000904250114121B,L0_BOTTOM,55,50,9.02,1.95
DAQ-000904250114121B,L0_BOTTOM,55,60,10.70,1.98
DAQ-000904250114121B,L0_BOTTOM,55,60,10.70,1.98
DAQ-000904250114121B,L0_BOTTOM,55,60,10.70,1.98
DAQ-000904250114121B,L0_BOTTOM,60,40,4.92,1.60
DAQ-000904250114121B,L0_BOTTOM,60,40,4.92,1.60
DAQ-000904250114121B,L0_BOTTOM,60,40,4.92,1.60
DAQ-000904250114121B,L0_BOTTOM,60,50,6.48,1.65
DAQ-000904250114121B,L0_BOTTOM,60,50,6.48,1.65
DAQ-000904250114121B,L0_BOTTOM,60,50,6.48,1.65
DAQ-000904250114121B,L0_BOTTOM,60,60,7.90,1.72
DAQ-000904250114121B,L0_BOTTOM,60,60,7.90,1.72
DAQ-000904250114121B,L0_BOTTOM,60,60,7.90,1.72
DAQ-000904250114121B,L0_BOTTOM,65,50,5.09,1.52
DAQ-000904250114121B,L0_BOTTOM,65,50,5.09,1.52
DAQ-000904250114121B,L0_BOTTOM,65,50,5.09,1.52
DAQ-000904250114121B,L0_BOTTOM,65,60,5.73,1.42
DAQ-000904250114121B,L0_BOTTOM,65,60,5.73,1.42
DAQ-000904250114121B,L0_BOTTOM,65,60,5.73,1.42
