DAQ,chipID,VCASN,ITHR,Threshold,Threshold Uncertainty
DAQ-000904250114121B,L2_TOP,45,40,17.84,1.00
DAQ-000904250114121B,L2_TOP,45,40,17.84,1.00
DAQ-000904250114121B,L2_TOP,45,40,17.84,1.00
DAQ-000904250114121B,L2_TOP,45,50,18.62,0.45
DAQ-000904250114121B,L2_TOP,45,50,18.62,0.45
DAQ-000904250114121B,L2_TOP,45,50,18.62,0.45
DAQ-000904250114121B,L2_TOP,50,40,11.07,2.10
DAQ-000904250114121B,L2_TOP,50,40,11.07,2.10
DAQ-000904250114121B,L2_TOP,50,40,11.07,2.10
DAQ-000904250114121B,L2_TOP,50,50,13.51,2.02
DAQ-000904250114121B,L2_TOP,50,50,13.51,2.02
DAQ-000904250114121B,L2_TOP,50,50,13.51,2.02
DAQ-000904250114121B,L2_TOP,50,60,15.56,1.73
DAQ-000904250114121B,L2_TOP,50,60,15.56,1.73
DAQ-000904250114121B,L2_TOP,50,60,15.56,1.73
DAQ-000904250114121B,L2_TOP,55,40,6.91,1.79
DAQ-000904250114121B,L2_TOP,55,40,6.91,1.79
DAQ-000904250114121B,L2_TOP,55,40,6.91,1.79
DAQ-000904250114121B,L2_TOP,55,50,8.74,1.86
DAQ-000904250114121B,L2_TOP,55,50,8.74,1.86
DAQ-000904250114121B,L2_TOP,55,50,8.74,1.86
DAQ-000904250114121B,L2_TOP,55,60,10.46,1.91
DAQ-000904250114121B,L2_TOP,55,60,10.46,1.91
DAQ-000904250114121B,L2_TOP,55,60,10.46,1.91
DAQ-000904250114121B,L2_TOP,60,40,4.79,1.50
DAQ-000904250114121B,L2_TOP,60,40,4.79,1.50
DAQ-000904250114121B,L2_TOP,60,40,4.79,1.50
DAQ-000904250114121B,L2_TOP,60,50,6.33,1.57
DAQ-000904250114121B,L2_TOP,60,50,6.33,1.57
DAQ-000904250114121B,L2_TOP,60,50,6.33,1.57
DAQ-000904250114121B,L2_TOP,60,60,7.77,1.63
DAQ-000904250114121B,L2_TOP,60,60,7.77,1.63
DAQ-000904250114121B,L2_TOP,60,60,7.77,1.63
DAQ-000904250114121B,L2_TOP,65,40,3.27,1.24
DAQ-000904250114121B,L2_TOP,65,40,3.27,1.24
DAQ-000904250114121B,L2_TOP,65,40,3.27,1.24
DAQ-000904250114121B,L2_TOP,65,50,4.63,1.34
DAQ-000904250114121B,L2_TOP,65,50,4.63,1.34
DAQ-000904250114121B,L2_TOP,65,50,4.63,1.34
DAQ-000904250114121B,L2_TOP,65,60,6.01,1.37
DAQ-000904250114121B,L2_TOP,65,60,6.01,1.37
DAQ-000904250114121B,L2_TOP,65,60,6.01,1.37
