RunNumber ChipNumber BackBiasVoltage VCASN ITHR NoiseOccDataFile MaskedNoisyPixels FiredPixels TotalHits MeanFakeHitRate 
746 8 3 118 100 NoiseOccupancy_200123_133156.dat 10 0 0.0 0.0 
747 8 3 118 90 NoiseOccupancy_200123_133237.dat 10 0 0.0 0.0 
748 8 3 118 80 NoiseOccupancy_200123_133318.dat 10 0 0.0 0.0 
749 8 3 118 70 NoiseOccupancy_200123_133400.dat 10 0 0.0 0.0 
750 8 3 118 60 NoiseOccupancy_200123_133441.dat 10 2 2 3.814697265625e-11 
751 8 3 118 51 NoiseOccupancy_200123_133522.dat 10 7 7 1.33514404296875e-10 
752 8 3 115 100 NoiseOccupancy_200123_133603.dat 10 0 0.0 0.0 
753 8 3 115 90 NoiseOccupancy_200123_133644.dat 10 0 0.0 0.0 
754 8 3 115 80 NoiseOccupancy_200123_133725.dat 10 0 0.0 0.0 
755 8 3 115 70 NoiseOccupancy_200123_133806.dat 10 0 0.0 0.0 
756 8 3 115 60 NoiseOccupancy_200123_133847.dat 10 0 0.0 0.0 
757 8 3 115 51 NoiseOccupancy_200123_133928.dat 10 7 7 1.33514404296875e-10 
758 8 3 112 100 NoiseOccupancy_200123_134010.dat 10 0 0.0 0.0 
759 8 3 112 90 NoiseOccupancy_200123_134051.dat 10 0 0.0 0.0 
760 8 3 112 80 NoiseOccupancy_200123_134132.dat 10 0 0.0 0.0 
761 8 3 112 70 NoiseOccupancy_200123_134213.dat 10 0 0.0 0.0 
762 8 3 112 60 NoiseOccupancy_200123_134254.dat 10 0 0.0 0.0 
763 8 3 112 51 NoiseOccupancy_200123_134335.dat 10 0 0.0 0.0 
764 8 3 121 100 NoiseOccupancy_200123_134416.dat 10 0 0.0 0.0 
765 8 3 121 90 NoiseOccupancy_200123_134457.dat 10 0 0.0 0.0 
766 8 3 121 80 NoiseOccupancy_200123_134538.dat 10 0 0.0 0.0 
767 8 3 121 70 NoiseOccupancy_200123_134619.dat 10 0 0.0 0.0 
768 8 3 121 60 NoiseOccupancy_200123_134700.dat 10 4 4 7.62939453125e-11 
769 8 3 121 51 NoiseOccupancy_200123_134741.dat 10 12 14 2.6702880859375e-10 
770 8 3 124 100 NoiseOccupancy_200123_134822.dat 10 0 0.0 0.0 
771 8 3 124 90 NoiseOccupancy_200123_134903.dat 10 0 0.0 0.0 
772 8 3 124 80 NoiseOccupancy_200123_134944.dat 10 0 0.0 0.0 
773 8 3 124 70 NoiseOccupancy_200123_135025.dat 10 0 0.0 0.0 
774 8 3 124 60 NoiseOccupancy_200123_135106.dat 10 7 7 1.33514404296875e-10 
775 8 3 124 51 NoiseOccupancy_200123_135147.dat 10 17 30 5.7220458984375e-10 
