Timestamp,VCASN,ITHR,Threshold [DAC]
200121_193551,118,100,13.913810876623376
200121_193951,118,90,12.776724837662337
200121_194352,118,80,11.572877435064935
200121_194751,118,70,10.305917207792207
200121_195150,118,60,8.983011363636363
200121_195551,118,51,7.745750811688311
200121_195951,115,100,14.87961850649351
200121_200350,115,90,13.643823051948054
200121_200750,115,80,12.369626623376623
200121_201152,115,70,11.040738636363635
200121_201553,115,60,9.665020292207792
200121_201952,115,51,8.380332792207792
200121_202349,112,100,15.998859577922076
200121_202749,112,90,14.677114448051947
200121_203148,112,80,13.322244318181816
200121_203546,112,70,11.924379058441557
200121_203946,112,60,10.463108766233766
200121_204345,112,51,9.105649350649351
200121_204746,121,100,13.423039772727273
200121_205146,121,90,12.243506493506494
200121_205546,121,80,11.031140422077922
200121_205946,121,70,9.782617694805195
200121_210345,121,60,8.4612987012987
200121_210743,121,51,7.223952922077922
200121_211143,124,100,12.790900974025973
200121_211540,124,90,11.640909090909089
200121_211942,124,80,10.455637175324675
200121_212340,124,70,9.214379058441558
200121_212740,124,60,7.920840097402598
200121_213142,124,51,6.7202475649350655
