Timestamp,VCASN,ITHR,Threshold [DAC]
200323_131107,47,51,13.561338982403909
200323_131430,47,60,15.900157951073444
200323_131753,47,70,18.563920523282974
200323_132116,47,80,21.2198906316688
200323_132439,47,90,23.90884390717448 
200323_132801,47,100,25.66903225806452
200323_132837,50,51,9.308180751173708 
200323_133200,50,60,11.168150892007821
200323_133523,50,70,13.173634169132157
200323_133846,50,80,15.142506701926752
200323_134209,50,90,17.124269747022442
200323_134532,50,100,19.05505994074967
200323_134855,53,51,6.70645390198333
200323_135218,53,60,8.162874637163542 
200323_135541,53,70,9.805831944529128 
200323_135904,53,80,11.514256732253832
200323_140227,53,90,13.105197675456582
200323_140550,53,100,14.66175006764691
200323_140912,56,51,4.972470582251728 
200323_141235,56,60,6.329991575199228 
200323_141558,56,70,7.790918755234121 
200323_141921,56,80,9.25645928299201
200323_142244,56,90,10.620089568177804
200323_142607,56,100,12.01105932286131
200323_142930,59,51,3.575828823643584 
200323_143253,59,60,4.890543445451089 
200323_143616,59,70,6.263582964557375 
200323_143939,59,80,7.580749928083341 
200323_144302,59,90,8.898550120432297 
200323_144625,59,100,10.17575087383082
