Timestamp,VCASN,ITHR,NTRIGGERS, FHR, FHR_Error
200323_185755,101,51,100000,1.9073486328125e-11,0
200323_185830,101,60,100000,1.9073486328125e-11,0
200323_185906,101,70,100000,3.814697265625e-11,1.3486991523486089e-11
200323_185942,101,80,100000,9.5367431640625e-11,8.529922399520071e-12
200323_190017,101,90,100000,1.9073486328125e-11,0
200323_190053,101,100,100000,1.9073486328125e-11,0
200323_190129,103,51,100000,7.62939453125e-11,9.5367431640625e-12
200323_190204,103,60,100000,1.9073486328125e-11,1.9073486328125e-11
200323_190240,103,70,100000,1.9073486328125e-11,0
200323_190315,103,80,100000,1.9073486328125e-11,0
200323_190351,103,90,100000,1.9073486328125e-11,0
200323_190427,103,100,100000,1.9073486328125e-11,0
200323_190502,105,51,100000,6.4849853515625e-10,3.271075919008423e-12
200323_190538,105,60,100000,9.5367431640625e-11,8.529922399520071e-12
200323_190614,105,70,100000,1.9073486328125e-11,0
200323_190649,105,80,100000,2.288818359375e-10,5.506041232963809e-12
200323_190725,105,90,100000,1.9073486328125e-11,0
200323_190801,105,100,100000,1.9073486328125e-11,0
200323_190836,107,51,100000,2.02178955078125e-09,1.852580761637238e-12
200323_190912,107,60,100000,4.1961669921875e-10,4.066480948555191e-12
200323_190947,107,70,100000,5.7220458984375e-11,1.1012082465927617e-11
200323_191023,107,80,100000,2.6702880859375e-10,5.097603643654335e-12
200323_191059,107,90,100000,1.9073486328125e-11,0
200323_191134,107,100,100000,1.9073486328125e-11,0
200323_191210,109,51,100000,3.757476806640625e-09,1.3589296338636332e-12
200323_191246,109,60,100000,1.125335693359375e-09,2.483156413666227e-12
200323_191321,109,70,100000,1.71661376953125e-10,6.357828776041667e-12
200323_191357,109,80,100000,3.814697265625e-11,1.3486991523486089e-11
200323_191433,109,90,100000,1.9073486328125e-11,0
200323_191508,109,100,100000,1.9073486328125e-11,0
200323_191544,112,51,100000,7.877349853515625e-09,9.38544905290838e-13
200323_191620,112,60,100000,2.32696533203125e-09,1.7268323143485743e-12
200323_191655,112,70,100000,9.1552734375e-10,2.7530206164819044e-12
200323_191731,112,80,100000,1.1444091796875e-10,7.786718186642896e-12
200323_191807,112,90,100000,1.9073486328125e-11,1.9073486328125e-11
200323_191842,112,100,100000,1.33514404296875e-10,7.2091002084584656e-12
200323_191918,115,51,100000,1.6326904296875e-08,6.519183416601784e-13
200323_191953,115,60,100000,5.79833984375e-09,1.0939394658592307e-12
200323_192029,115,70,100000,1.678466796875e-09,2.0332404742775957e-12
200323_192105,115,80,100000,3.4332275390625e-10,4.49566384116203e-12
200323_192140,115,90,100000,1.52587890625e-10,6.7434957617430446e-12
200323_192216,115,100,100000,2.09808349609375e-10,5.750872508578561e-12
200323_192252,118,51,100000,4.33349609375e-08,4.0015285410723164e-13
200323_192327,118,60,100000,7.953643798828125e-09,9.340326440322719e-13
200323_192403,118,70,100000,2.079010009765625e-09,1.8269086555884386e-12
200323_192439,118,80,100000,6.67572021484375e-10,3.224007624544207e-12
200323_192514,118,90,100000,2.09808349609375e-10,5.750872508578561e-12
200323_192550,118,100,100000,1.9073486328125e-11,1.9073486328125e-11
200323_192626,121,51,100000,7.907867431640624e-08,2.9622072020198544e-13
200323_192701,121,60,100000,1.6384124755859376e-08,6.507789553975491e-13
200323_192737,121,70,100000,4.558563232421875e-09,1.2337612673819559e-12
200323_192813,121,80,100000,1.125335693359375e-09,2.483156413666227e-12
200323_192848,121,90,100000,2.6702880859375e-10,5.097603643654335e-12
200323_192924,121,100,100000,1.33514404296875e-10,7.2091002084584656e-12
200323_193000,124,51,100000,1.0446548461914062e-07,2.5772628397038254e-13
200323_193035,124,60,100000,3.41796875e-08,4.505687630286541e-13
200323_193111,124,70,100000,7.0953369140625e-09,9.889141986183407e-13
200323_193147,124,80,100000,1.888275146484375e-09,1.9169575028595203e-12
200323_193222,124,90,100000,4.00543212890625e-10,4.1621759459684825e-12
200323_193258,124,100,100000,1.52587890625e-10,6.7434957617430446e-12
