Run Number, 1 pE, 2 pE, 3 pE, 4 pE, 5 pE, 6 pE, 7 pE
Cosmics380,418,42,11,2,0,0,1
Cosmics381,421,46,11,3,0,0,2
Cosmics382,369,49,16,3,1,0,0
Cosmics383,403,64,9,5,2,0,0
Cosmics384,362,51,16,2,0,0,0
Cosmics386,430,59,8,5,2,0,0
Cosmics387,426,59,11,6,2,1,0
Cosmics388,413,71,13,3,3,0,0
Cosmics389,366,52,14,5,1,1,0
Cosmics390,380,57,15,3,1,0,1
Cosmics391,390,57,21,3,0,1,2
Cosmics394,347,44,5,7,3,0,0
Cosmics395,386,66,9,3,2,0,0
Cosmics396,400,51,10,3,2,1,0
Cosmics397,366,45,13,2,2,1,1
Cosmics398,357,41,10,6,1,0,1
Cosmics399,370,56,7,3,0,0,0
Cosmics401,476,55,15,5,1,0,1
Cosmics402,412,49,11,3,0,2,0
Cosmics403,390,79,6,1,1,0,0
Cosmics404,409,57,12,3,2,1,1
Cosmics405,399,55,14,1,1,5,1
Cosmics406,376,60,9,3,2,0,1
Cosmics407,383,48,14,4,0,0,1
Cosmics408,369,58,5,4,2,0,0
Cosmics409,390,39,18,9,3,1,0
Cosmics410,346,52,11,2,0,0,0
Cosmics411,390,49,11,3,0,1,0
Cosmics412,392,54,13,0,2,0,0
Cosmics413,371,52,10,6,2,1,0
Cosmics414,352,49,14,4,0,0,0
Cosmics416,783,101,17,11,1,1,0
Cosmics417,741,74,13,8,1,1,1
Cosmics418,697,107,23,11,1,0,0
Cosmics419,681,99,18,9,1,1,0
Cosmics420,636,81,26,7,1,1,1
Cosmics421,677,97,25,8,1,1,1
Cosmics422,647,87,16,7,1,0,0
Cosmics423,642,91,18,6,4,2,0
Cosmics424,683,78,19,15,1,2,1
Cosmics425,694,116,18,8,3,0,1
Cosmics426,670,102,30,5,3,2,1
Cosmics427,635,110,19,6,3,0,0
Cosmics428,669,101,21,7,3,3,2
Cosmics429,666,91,15,7,0,0,0
Cosmics430,657,93,18,9,2,2,3
Cosmics431,662,96,18,6,3,1,2
Cosmics432,677,103,30,7,2,1,1
Cosmics433,657,90,28,8,2,2,1
Cosmics434,653,95,19,8,5,1,0
Cosmics436,845,94,29,7,3,1,0
Cosmics437,719,115,19,6,2,1,1
Cosmics438,655,88,19,5,3,2,0
Cosmics439,646,80,16,9,3,1,0
Cosmics440,645,89,22,4,1,1,0
Cosmics441,702,109,24,3,1,0,0
Cosmics442,700,95,19,7,2,0,0
Cosmics443,608,104,22,10,1,3,1
Cosmics445,662,92,16,8,1,0,4
Cosmics446,688,117,15,9,3,2,2
Cosmics447,583,90,15,3,1,0,1
Cosmics448,698,105,24,9,5,0,2
Cosmics449,655,110,24,7,2,0,1
Cosmics450,693,103,26,5,2,1,0
Cosmics451,682,76,16,9,1,3,1
Cosmics452,665,97,21,6,5,2,0
Cosmics453,674,94,23,14,1,0,0
Cosmics454,698,96,18,6,3,1,1
Cosmics455,673,116,20,11,2,1,4
Cosmics456,684,90,21,12,1,2,2
Cosmics457,655,89,20,9,0,0,1
Cosmics458,657,75,16,4,1,2,2
Cosmics459,653,96,24,6,3,1,3
Cosmics460,689,94,18,8,0,1,0
Cosmics461,662,93,21,5,2,0,0
Cosmics462,724,101,18,3,3,1,1
Cosmics463,678,93,36,3,0,0,1
Cosmics464,655,98,28,6,3,0,1
Cosmics465,631,94,15,6,5,0,1
Cosmics466,626,105,20,8,1,0,3
Cosmics467,677,105,23,7,2,2,0
Cosmics468,630,98,21,7,2,0,1
Cosmics469,713,101,25,7,2,3,0
Cosmics470,699,81,34,9,4,3,1
Cosmics472,805,98,14,8,4,0,2
Cosmics473,782,101,19,3,3,1,1
Cosmics474,691,103,17,7,1,0,0
Cosmics475,724,82,23,3,1,1,1
Cosmics476,637,106,21,6,1,2,0
Cosmics477,637,105,25,8,4,0,0
Cosmics478,640,89,20,4,2,2,1
Cosmics479,701,109,23,11,2,1,2
Cosmics480,672,103,20,7,0,1,0
Cosmics481,686,96,16,9,1,1,2
Cosmics482,676,84,17,7,3,0,1
Cosmics483,670,98,26,7,1,1,2
Cosmics484,642,104,23,13,2,3,1
Cosmics485,665,95,13,3,4,0,1
Cosmics486,627,74,20,7,3,2,1
Cosmics487,710,94,16,7,2,1,1
Cosmics488,691,103,25,8,2,1,0
Cosmics489,640,100,17,15,0,0,1
Cosmics492,708,89,25,8,2,1,2
Cosmics493,673,87,30,6,4,1,1
Cosmics494,703,98,21,7,1,1,1
Cosmics495,626,92,25,5,2,0,2
Cosmics496,657,100,26,13,3,1,0
Cosmics497,702,88,23,4,2,0,1
Cosmics498,695,90,21,10,1,0,1
Cosmics499,661,103,31,6,4,0,0
Cosmics500,667,101,19,8,5,1,0
Cosmics501,673,105,15,6,2,0,0
Cosmics502,227,29,9,3,0,0,0
Cosmics503,773,102,27,7,1,0,1
Cosmics504,742,99,25,4,3,3,0
Cosmics505,656,109,20,11,5,2,1
Cosmics506,671,118,19,8,4,1,0
Cosmics507,692,106,28,9,5,0,0
Cosmics508,697,98,24,10,2,2,1
Cosmics509,696,95,19,4,3,0,0
Cosmics510,628,80,10,8,2,0,2
Cosmics511,635,96,27,4,3,0,0
Cosmics512,647,106,32,6,3,0,1
Cosmics513,664,126,19,4,4,0,1
Cosmics514,690,71,22,9,0,1,1
Cosmics515,645,103,26,10,2,0,2
Cosmics516,657,81,27,7,3,1,1
Cosmics517,676,99,19,7,1,1,1
Cosmics518,688,88,24,3,5,1,0
Cosmics519,663,114,16,7,1,2,1
Cosmics520,713,85,14,11,0,1,0
Cosmics522,680,119,20,4,5,1,2
Cosmics523,651,88,27,8,3,2,2
Cosmics524,639,94,23,6,2,1,1
Cosmics525,653,96,24,4,2,1,0
Cosmics526,683,91,23,8,2,1,2
Cosmics527,685,106,19,4,1,1,0
Cosmics528,680,104,17,13,2,1,1
Cosmics529,672,101,20,5,1,1,1
Cosmics530,692,91,17,3,2,2,1
Cosmics531,646,97,26,2,4,2,1
Cosmics532,660,106,21,6,3,0,1
Cosmics533,654,93,23,9,4,1,2
Cosmics534,657,94,18,4,4,0,2
Cosmics535,644,111,24,8,3,1,0
Cosmics536,694,107,19,5,2,2,0
Cosmics537,608,107,27,11,1,0,1
Cosmics538,691,71,19,4,1,1,0
Cosmics539,713,96,24,3,3,1,1
Cosmics540,673,108,27,4,2,0,0
Cosmics541,682,87,19,3,3,1,0
Cosmics542,673,102,27,6,0,1,0
Cosmics543,643,84,21,7,2,0,1
Cosmics544,660,80,26,8,1,2,3
Cosmics546,645,105,12,7,1,0,0
Cosmics547,662,110,21,4,0,2,0
Cosmics548,701,87,18,4,2,2,1
Cosmics549,679,84,23,10,4,1,0
Cosmics550,696,106,17,6,0,2,0
Cosmics551,0,0,0,0,0,0,0
Cosmics552,660,109,23,6,3,0,1
Cosmics553,648,108,25,2,1,0,1
Cosmics554,679,101,19,2,2,1,1
Cosmics555,664,93,17,2,2,0,2
Cosmics556,684,115,19,3,3,0,0
Cosmics557,667,100,29,11,1,2,2
Cosmics558,701,96,13,4,2,1,0
Cosmics559,692,94,22,3,1,2,0
Cosmics560,618,102,17,4,0,3,2
Cosmics561,658,96,29,10,3,1,0
Cosmics562,696,105,23,5,3,1,1
Cosmics563,639,99,22,3,1,0,0
Cosmics565,788,99,15,13,1,1,1
Cosmics566,649,99,16,6,4,1,2
Cosmics567,717,90,23,6,1,1,3
Cosmics568,692,95,25,4,3,1,0
Cosmics569,670,102,22,7,4,2,1
Cosmics570,638,85,24,7,4,1,0
Cosmics571,654,86,19,6,3,0,0
Cosmics572,688,92,29,3,2,2,1
Cosmics573,716,105,22,6,2,0,0
