Timestamp,VCASN,ITHR,Threshold [DAC], Threshold_Error
200825_211325,100,30,23.039557195571955,1.2035517680881542
200825_211345,100,40,31.035896102080752,1.5115079078621374
200825_211406,100,50,37.12558162209968,4.667358428789989
200825_211426,100,60,41.711441846986865,20.001329899314122
200825_211446,100,70,41.20122827940678,54.02002185191532
200825_211507,105,30,14.501722113502936,1.1466983093323484
200825_211527,105,40,17.904618395303327,1.120589754258466
200825_211548,105,50,21.18446183953033,1.120111806978909
200825_211608,105,60,24.405675146771035,1.1216412506981204
200825_211629,105,70,27.62320939334638,1.127475950338261
200825_211649,110,30,10.847279843444227,1.1169795651078633
200825_211710,110,40,13.229510763209394,1.0914651351397446
200825_211730,110,50,15.453150684931506,1.0854538459474758
200825_211751,110,60,17.61095890410959,1.0693851146587707
200825_211811,110,70,19.661956947162423,1.0744041231358545
200825_211832,115,30,9.124422700587086,1.1298742212832478
200825_211853,115,40,11.1959686888454,1.1053212577953955
200825_211913,115,50,13.071272015655577,1.091359325988675
200825_211934,115,60,14.848923679060665,1.0808324844743256
200825_211954,115,70,16.559295499021523,1.0762707301843684
200825_212014,120,30,8.01752945405168,1.131768961779914
200825_212035,120,40,9.94109589041096,1.1158816367151116
200825_212055,120,50,11.718238747553817,1.096706358645867
200825_212116,120,60,13.354207436399218,1.0860633988178663
200825_212136,120,70,14.935068493150684,1.080604201707072
200825_212157,125,30,7.113808358960022,1.126485555302318
200825_212217,125,40,8.9759686888454,1.1232859822331986
200825_212238,125,50,10.67679060665362,1.0967654805841773
200825_212258,125,60,12.251545988258316,1.0937627676494692
200825_212319,125,70,13.758551859099803,1.0814281650424118
200825_213554,130,30,5.917801504214018,1.0723934178554777
200825_213614,130,40,7.78133072407045,1.0592447695087504
200825_213635,130,50,9.451898238747553,1.057605210322476
200825_213655,130,60,10.999647749510764,1.0540996272582372
200825_213716,130,70,12.49123287671233,1.0500011281744603
