Timestamp,VCASN,ITHR,Threshold [DAC], Threshold_Error
200825_234714,100,30,21.4387084148728,1.0631842746429103
200825_234735,100,40,27.208688845401177,1.0801679826397936
200825_234755,100,50,32.8876330131603,1.4990316274819326
200825_234816,100,60,38.173919699095485,5.194550286363027
200825_234836,100,70,42.7690660044965,18.559053843510217
200825_234857,105,30,13.146888454011743,0.9648431344388523
200825_234917,105,40,16.216947162426617,0.9559873234542934
200825_234938,105,50,19.159882583170255,0.9494208855505335
200825_234958,105,60,22.053424657534244,0.9481788943799089
200825_235019,105,70,24.87921722113503,0.9585455098361259
200825_235039,110,30,10.032876712328768,0.9482838256437665
200825_235059,110,40,12.275303326810176,0.9296857624469416
200825_235120,110,50,14.35119373776908,0.9253602089531793
200825_235140,110,60,16.336908023483367,0.9169365115047238
200825_235201,110,70,18.266027397260274,0.9060844635572394
200825_235221,115,30,8.503209393346378,0.9594314980346516
200825_235242,115,40,10.471428571428572,0.9420635879996306
200825_235302,115,50,12.268180039138944,0.9255993753565698
200825_235323,115,60,13.96857142857143,0.9201002650200016
200825_235343,115,70,15.582583170254402,0.9234348067721047
200825_235404,120,30,7.4941682974559685,0.9664272982657446
200825_235424,120,40,9.339178082191781,0.9453366488138893
200825_235445,120,50,11.038747553816046,0.9341909020494037
200825_235505,120,60,12.62133072407045,0.9221599386867108
200825_235526,120,70,14.139843444227006,0.9282126979739677
200825_235546,125,30,6.652302667413303,0.9716151733269757
200825_235607,125,40,8.43146771037182,0.9511580626382174
200825_235627,125,50,10.076751467710372,0.9309890652069105
200825_235648,125,60,11.612876712328768,0.9326390510936707
200825_235708,125,70,13.065557729941291,0.9138182926670249
200825_235729,130,30,5.855456922661641,0.9552042629278727
200825_235749,130,40,7.5848923679060665,0.9449116157632603
200825_235809,130,50,9.186692759295498,0.9301721902601889
200825_235830,130,60,10.704344422700586,0.9243816827149751
200825_235850,130,70,12.122387475538162,0.9248561221138651
