Chip,VBB,VCASN,ITHR,Threshold,ThresholdErr
REF3,3,101,50,8.98,1.96
REF3,3,101,60,10.67,1.96
REF3,3,101,70,12.32,1.95
REF3,3,101,80,13.95,1.93
REF3,3,101,90,15.49,1.84
REF3,3,101,100,16.89,1.64
REF3,3,103,50,7.54,1.91
REF3,3,103,60,8.98,1.91
REF3,3,103,70,10.38,1.92
REF3,3,103,80,11.74,1.91
REF3,3,103,90,13.08,1.88
REF3,3,103,100,14.39,1.85
REF3,3,105,50,6.52,1.86
REF3,3,105,60,7.79,1.88
REF3,3,105,70,9.03,1.87
REF3,3,105,80,10.23,1.88
REF3,3,105,90,11.39,1.86
REF3,3,105,100,12.54,1.86
REF3,3,107,50,5.78,1.80
REF3,3,107,60,6.95,1.82
REF3,3,107,70,8.07,1.84
REF3,3,107,80,9.15,1.84
REF3,3,107,90,10.21,1.84
REF3,3,107,100,11.24,1.83
REF3,3,109,50,5.21,1.73
REF3,3,109,60,6.31,1.76
REF3,3,109,70,7.36,1.78
REF3,3,109,80,8.38,1.79
REF3,3,109,90,9.36,1.80
REF3,3,109,100,10.31,1.80
REF3,3,112,50,4.56,1.63
REF3,3,112,60,5.60,1.66
REF3,3,112,70,6.58,1.68
REF3,3,112,80,7.52,1.70
REF3,3,112,90,8.44,1.72
REF3,3,112,100,9.32,1.73
