Chip,VBB,VCASN,ITHR,Threshold,ThresholdErr
REF3,3,101,60,10.58,5
REF3,3,101,70,12.19,2.73
REF3,3,101,80,13.82,5
REF3,3,101,90,15.45,5
REF3,3,101,100,17.04,5.72
REF3,3,103,60,8.63,5
REF3,3,103,70,10.03,5
REF3,3,103,80,11.38,5
REF3,3,103,90,12.72,5
REF3,3,103,100,14.06,5
REF3,3,105,60,7.42,5
REF3,3,105,70,8.64,5
REF3,3,105,80,9.83,5
REF3,3,105,90,11.01,5
REF3,3,105,100,12.15,5
REF3,3,107,60,6.58,5
REF3,3,107,70,7.68,5
REF3,3,107,80,8.75,5
REF3,3,107,90,9.80,5
REF3,3,107,100,10.83,5
REF3,3,109,60,5.94,5
REF3,3,109,70,6.97,5
REF3,3,109,80,7.97,3.93
REF3,3,109,90,8.94,5
REF3,3,109,100,9.89,5
REF3,3,112,60,5.22,5
REF3,3,112,70,6.19,5
REF3,3,112,80,7.13,5
REF3,3,112,90,8.03,5
REF3,3,112,100,8.91,5
